Hrac,Vek,Prumerny_cas_na_lede_min
Alex Iafallo,26,18.93
David Kampf,24,13.67
Neal Pionk,24,23.38
Oscar Fantenberg,28,15.91
Calle Rosen,25,13.58
Radim Simek,27,17.18
Jan Rutta,29,15.58
Gustav Lindstrom,21,16.54
Eetu Luostarinen,21,9.98
Alexander Volkov,22,10.26
Emil Bemstrom,20,12.27
Drake Batherson,21,15.56
Jonathan Davidsson,22,5.52
Max Veronneau,24,8.42
Sheldon Dries,25,6.86
Sean Walker,25,18.83
Adam Johnson,25,6.7
Alexander True,22,10.0
Zach Whitecloud,23,14.26
Kiefer Sherwood,24,13.33
Eric Robinson,24,10.95
Joel L'Esperance,24,7.34
Lukas Radil,29,9.4
Oliver Wahlstrom,19,10.29
Martin Fehervary,20,15.87
Joel Farabee,19,14.07
Quinn Hughes,20,21.88
Brady Tkachuk,20,18.93
Isac Lundestrom,20,13.91
Nicolas Beaudin,20,17.02
Filip Zadina,20,15.17
Martin Kaut,20,10.14
Jesperi Kotkaniemi,19,12.99
Andrei Svechnikov,19,16.74
Rasmus Dahlin,19,19.3
Barrett Hayton,19,11.14
Liam Foudy,19,14.22
Noah Dobson,19,13.28
Adam Boqvist,19,16.22
Rasmus Sandin,19,14.31
Karson Kuhlman,24,12.54
Jordan Gross,24,16.18
Lawrence Pilut,24,16.24
Joel Persson,25,15.31
Par Lindholm,28,11.24
Juuso Riikola,26,13.89
Dominik Kahun,24,13.28
Ilya Lyubushkin,25,14.19
Antti Suomela,25,9.69
David Gustafsson,19,6.14
Otto Leskinen,22,10.29
Logan O'Connor,23,8.43
Taro Hirose,23,12.55
Nico Sturm,24,11.89
Blake Lizotte,22,13.96
Danil Yurtaykin,22,13.0
Joel Kellman,25,11.58
Kirby Dach,18,14.27
Kaapo Kakko,18,14.28
Jack Hughes,18,15.87
Ville Heinola,18,18.06
Thomas Harley,18,10.97
Tobias Bjornfot,18,12.97
Ilya Mikheyev,25,15.58
Alexander Yelesin,23,12.49
Anton Wedin,26,9.07
Joakim Nygard,26,10.69
Lean Bergmann,21,8.27
Joel Kiviranta,23,10.3
Andrei Chibisov,26,7.45
Joona Luoto,22,6.59
Jakob Lilja,26,9.9
Nikolai Knyzhov,21,10.82
Gaetan Haas,27,9.7
