Home,Away,Goals_home,Goals_away,First_goal_team,Winner
Pittsburgh,Washington,2,5,Washington,Washington
Dallas,Nashville,0,1,Nashville,Nashville
Los Angeles,Minnesota,7,3,Minnesota,Los Angeles
San Jose,Ottawa,1,2,San Jose,Ottawa
Boston,Tampa Bay,3,5,Tampa Bay,Tampa Bay
Florida,Montreal,4,1,Florida,Florida
NY Rangers,New Jersey,4,6,New Jersey,New Jersey
Philadelphia,Buffalo,3,1,Philadelphia,Philadelphia
Edmonton,Columbus,4,1,Edmonton,Edmonton
NY Islanders,Carolina,2,3,NY Islanders,Carolina
Pittsburgh,Washington,2,5,Washington,Washington
Dallas,Nashville,0,1,Nashville,Nashville
Los Angeles,Minnesota,7,3,Minnesota,Los Angeles
San Jose,Ottawa,1,2,San Jose,Ottawa
Boston,Tampa Bay,3,5,Tampa Bay,Tampa Bay
Florida,Montreal,4,1,Florida,Florida
NY Rangers,New Jersey,4,6,New Jersey,New Jersey
Philadelphia,Buffalo,3,1,Philadelphia,Philadelphia
Edmonton,Columbus,4,1,Edmonton,Edmonton
Pittsburgh,Carolina,2,6,Carolina,Carolina
Detroit,Tampa Bay,5,4,Tampa Bay,Detroit
Calgary,Vegas,3,5,Vegas,Vegas
Chicago,St Louis,0,2,St Louis,St Louis
Anaheim,Minnesota,4,5,Anaheim,Minnesota
Vancouver,Columbus,1,2,Columbus,Columbus
San Jose,Colorado,3,4,Colorado,Colorado
Pittsburgh,Carolina,2,6,Carolina,Carolina
Detroit,Tampa Bay,5,4,Tampa Bay,Detroit
Calgary,Vegas,3,5,Vegas,Vegas
Chicago,St Louis,0,2,St Louis,St Louis
Anaheim,Minnesota,4,5,Anaheim,Minnesota
Vancouver,Columbus,1,2,Columbus,Columbus
San Jose,Colorado,3,4,Colorado,Colorado
Buffalo,Washington,3,2,Buffalo,Buffalo
Winnipeg,Arizona,4,2,Arizona,Winnipeg
St Louis,Florida,1,2,St Louis,Florida
Edmonton,Vegas,2,3,Vegas,Vegas
Los Angeles,Colorado,3,1,Colorado,Los Angeles
Buffalo,Washington,3,2,Buffalo,Buffalo
Winnipeg,Arizona,4,2,Arizona,Winnipeg
St Louis,Florida,1,2,St Louis,Florida
Edmonton,Vegas,2,3,Vegas,Vegas
Los Angeles,Colorado,3,1,Colorado,Los Angeles
Toronto,Tampa Bay,2,1,Tampa Bay,Toronto
Montreal,Nashville,2,4,Nashville,Nashville
New Jersey,Pittsburgh,2,5,Pittsburgh,Pittsburgh
Philadelphia,Boston,0,2,Boston,Boston
Detroit,Carolina,2,5,Carolina,Carolina
Dallas,NY Rangers,2,4,NY Rangers,NY Rangers
Vancouver,NY Islanders,5,4,NY Islanders,Vancouver
Anaheim,Ottawa,5,2,Ottawa,Anaheim
Toronto,Tampa Bay,2,1,Tampa Bay,Toronto
Montreal,Nashville,2,4,Nashville,Nashville
New Jersey,Pittsburgh,2,5,Pittsburgh,Pittsburgh
Philadelphia,Boston,0,2,Boston,Boston
Detroit,Carolina,2,5,Carolina,Carolina
Dallas,NY Rangers,2,4,NY Rangers,NY Rangers
Vancouver,NY Islanders,5,4,NY Islanders,Vancouver
Anaheim,Ottawa,5,2,Ottawa,Anaheim
Chicago,San Jose,6,2,Chicago,Chicago
Edmonton,Winnipeg,2,4,Winnipeg,Winnipeg
Anaheim,St Louis,2,4,Anaheim,St Louis
Colorado,NY Rangers,3,2,Colorado,Colorado
Los Angeles,Ottawa,3,2,Ottawa,Los Angeles
Chicago,San Jose,6,2,Chicago,Chicago
Edmonton,Winnipeg,2,4,Winnipeg,Winnipeg
Anaheim,St Louis,2,4,Anaheim,St Louis
Colorado,NY Rangers,3,2,Colorado,Colorado
Los Angeles,Ottawa,3,2,Ottawa,Los Angeles
Boston,Philadelphia,1,4,Philadelphia,Philadelphia
Colorado,St Louis,2,1,Colorado,Colorado
Boston,Philadelphia,1,4,Philadelphia,Philadelphia
Colorado,St Louis,2,1,Colorado,Colorado
Tampa Bay,Washington,3,2,Tampa Bay,Tampa Bay
Vegas,Dallas,5,3,Vegas,Vegas
Tampa Bay,Washington,3,2,Tampa Bay,Tampa Bay
Vegas,Dallas,5,3,Vegas,Vegas
Boston,Tampa Bay,2,3,Boston,Tampa Bay
Dallas,Colorado,0,4,Colorado,Colorado
Boston,Tampa Bay,2,3,Boston,Tampa Bay
Dallas,Colorado,0,4,Colorado,Colorado
Philadelphia,Washington,3,1,Philadelphia,Philadelphia
St Louis,Vegas,4,6,St Louis,Vegas
Philadelphia,Washington,3,1,Philadelphia,Philadelphia
St Louis,Vegas,4,6,St Louis,Vegas
Colorado,Vegas,3,4,Vegas,Vegas
Tampa Bay,Philadelphia,1,4,Tampa Bay,Philadelphia
Colorado,Vegas,3,4,Vegas,Vegas
Tampa Bay,Philadelphia,1,4,Tampa Bay,Philadelphia
Washington,Boston,2,1,Washington,Washington
St Louis,Dallas,1,2,St Louis,Dallas
Washington,Boston,2,1,Washington,Washington
St Louis,Dallas,1,2,St Louis,Dallas
