Home,Away,Goals_home,Goals_away,First_goal_team,Winner
Carolina,Detroit,7,3,Carolina,Carolina
St Louis,Columbus,4,3,Columbus,St Louis
Colorado,Dallas,1,2,Dallas,Dallas
Anaheim,Vancouver,2,1,Vancouver,Anaheim
San Jose,Winnipeg,2,3,San Jose,Winnipeg
Pittsburgh,Edmonton,1,2,Edmonton,Edmonton
Nashville,NY Rangers,1,2,Nashville,NY Rangers
Dallas,Montreal,4,1,Dallas,Dallas
Boston,Ottawa,5,2,Boston,Boston
Buffalo,NY Islanders,0,1,NY Islanders,NY Islanders
Florida,Detroit,4,0,Florida,Florida
Philadelphia,Toronto,3,4,Philadelphia,Toronto
Carolina,New Jersey,3,5,New Jersey,New Jersey
Columbus,Calgary,0,3,Calgary,Calgary
Minnesota,St Louis,3,4,Minnesota,St Louis
Arizona,Colorado,3,0,Arizona,Arizona
Vegas,Winnipeg,3,4,Winnipeg,Winnipeg
San Jose,Vancouver,2,5,Vancouver,Vancouver
Los Angeles,Chicago,4,3,Los Angeles,Los Angeles
Pittsburgh,Edmonton,1,2,Edmonton,Edmonton
Nashville,NY Rangers,1,2,Nashville,NY Rangers
Dallas,Montreal,4,1,Dallas,Dallas
Boston,Ottawa,5,2,Boston,Boston
Buffalo,NY Islanders,0,1,NY Islanders,NY Islanders
Florida,Detroit,4,0,Florida,Florida
Philadelphia,Toronto,3,4,Philadelphia,Toronto
Carolina,New Jersey,3,5,New Jersey,New Jersey
Columbus,Calgary,0,3,Calgary,Calgary
Minnesota,St Louis,3,4,Minnesota,St Louis
Arizona,Colorado,3,0,Arizona,Arizona
Vegas,Winnipeg,3,4,Winnipeg,Winnipeg
San Jose,Vancouver,2,5,Vancouver,Vancouver
Los Angeles,Chicago,4,3,Los Angeles,Los Angeles
Washington,Calgary,4,2,Calgary,Washington
Anaheim,Chicago,2,3,Anaheim,Chicago
Washington,Calgary,4,2,Calgary,Washington
Anaheim,Chicago,2,3,Anaheim,Chicago
Boston,Pittsburgh,6,4,Boston,Boston
NY Rangers,Ottawa,2,6,Ottawa,Ottawa
Detroit,Nashville,1,6,Nashville,Nashville
Edmonton,Arizona,2,3,Arizona,Arizona
Boston,Pittsburgh,6,4,Boston,Boston
NY Rangers,Ottawa,2,6,Ottawa,Ottawa
Detroit,Nashville,1,6,Nashville,Nashville
Edmonton,Arizona,2,3,Arizona,Arizona
NY Islanders,Ottawa,4,1,NY Islanders,NY Islanders
Philadelphia,Carolina,4,1,Carolina,Philadelphia
Columbus,Vegas,1,2,Columbus,Vegas
Montreal,Boston,5,4,Montreal,Montreal
Toronto,Los Angeles,3,1,Los Angeles,Toronto
Winnipeg,New Jersey,1,2,Winnipeg,New Jersey
Dallas,Colorado,4,1,Dallas,Dallas
Calgary,Arizona,4,3,Arizona,Calgary
Vancouver,St Louis,1,2,St Louis,St Louis
Anaheim,Minnesota,2,4,Anaheim,Minnesota
San Jose,Chicago,4,2,San Jose,San Jose
NY Islanders,Ottawa,4,1,NY Islanders,NY Islanders
Philadelphia,Carolina,4,1,Carolina,Philadelphia
Columbus,Vegas,1,2,Columbus,Vegas
Montreal,Boston,5,4,Montreal,Montreal
Toronto,Los Angeles,3,1,Los Angeles,Toronto
Winnipeg,New Jersey,1,2,Winnipeg,New Jersey
Dallas,Colorado,4,1,Dallas,Dallas
Calgary,Arizona,4,3,Arizona,Calgary
Vancouver,St Louis,1,2,St Louis,St Louis
Anaheim,Minnesota,2,4,Anaheim,Minnesota
San Jose,Chicago,4,2,San Jose,San Jose
NY Rangers,Detroit,5,1,NY Rangers,NY Rangers
Edmonton,St Louis,2,5,St Louis,St Louis
NY Rangers,Detroit,5,1,NY Rangers,NY Rangers
Edmonton,St Louis,2,5,St Louis,St Louis
Toronto,Vegas,2,1,Vegas,Toronto
Florida,Washington,4,5,Washington,Washington
NY Islanders,Pittsburgh,3,4,NY Islanders,Pittsburgh
Philadelphia,Montreal,3,2,Philadelphia,Philadelphia
